Uid	Term	Term_Score
192	roaches	25.31273
192	house	22.09385
193	all	100
193	spiders	35.05132
193	house	22.09385
194	all	100
194	spider	20.48056
195	all	100
196	all	100
196	worth	7.541865
197	all	100
197	money	19.13338
197	save	16.72321
198	all	100
198	money	19.13338
199	all	100
199	refund	10.52225
199	money	19.13338
200	all	100
200	waste	23.22812
200	money	19.13338
200	dont	12.45504
201	all	100
201	waste of money	68.70736
202	all	100
202	money back	55.17276
203	all	100
203	waste your money	61.56138
204	all	100
204	save your money	70.24348
205	all	100
205	wasted	12.11117
205	spent	10.08411
205	money	19.13338
206	all	100
206	waste	23.22812
206	money	19.13338
207	all	100
207	wasted	12.11117
207	money	19.13338
208	all	100
208	waste of money	68.70736
208	total	10.59515
209	all	100
209	waste of money	68.70736
209	reviews	7.797231
210	all	100
210	waste your money	61.56138
211	all	100
211	waste your money	61.56138
212	all	100
212	waste your money	61.56138
213	all	100
213	waste of money	68.70736
213	dont	12.45504
214	all	100
214	save your money	70.24348
215	all	100
215	waste your money	61.56138
215	horrible	10.67126
216	all	100
216	waste your money	61.56138
217	all	100
217	waste of money	68.70736
217	horrible	10.67126
218	all	100
218	waste of money	68.70736
218	total	10.59515
219	all	100
219	waste of money	68.70736
220	all	100
220	waste of money	68.70736
221	all	100
221	worth	7.541865
221	money	19.13338
222	all	100
222	waste of money	68.70736
223	all	100
223	waste of money	68.70736
224	all	100
224	waste of money	68.70736
225	all	100
225	waste of money	68.70736
225	annoying	9.879193
225	sound	7.148699
225	make	6.785005
226	all	100
226	refund	10.52225
226	money	19.13338
227	all	100
227	return	16.51313
227	mice	37.11735
228	all	100
228	return	16.51313
229	all	100
229	money back	55.17276
230	all	100
230	money back	55.17276
231	all	100
231	return	16.51313
232	all	100
232	return	16.51313
233	all	100
233	money back	55.17276
233	return	16.51313
233	days	9.489481
233	30	8.945242
234	all	100
234	refund	10.52225
235	all	100
235	returning	14.45885
236	all	100
236	returned	9.408527
237	all	100
237	return	16.51313
238	all	100
238	return	16.51313
238	cannot	8.979276
238	days	9.489481
238	30	8.945242
239	all	100
239	returning	14.45885
240	all	100
240	returned	9.408527
240	cannot	8.979276
240	days	9.489481
241	all	100
241	returning	14.45885
242	all	100
242	return	16.51313
242	late	11.57479
243	all	100
243	returning	14.45885
244	all	100
244	return	16.51313
244	late	11.57479
245	all	100
245	sprays	26.16106
246	all	100
246	throughout my house	99.57954
246	mess	11.67369
247	all	100
248	all	100
248	cleaning	14.72749
249	all	100
249	cleaning	14.72749
249	spiders	18.56205
249	spray	13.42091
250	all	100
250	rid	12.08042
251	all	100
252	all	100
252	sprays	26.16106
253	all	100
253	cleaning	14.72749
253	traps	23.53945
253	tired	12.00877
253	mouse	22.66233
254	all	100
254	sprays	26.16106
254	traps	20.70162
255	all	100
255	sticky	11.8402
255	traps	20.70162
255	glue	12.10453
255	rid	12.08042
256	all	100
256	sticky	11.8402
256	sprays	26.16106
256	tired	12.00877
256	mess	11.67369
256	glue	12.10453
257	all	100
257	spray	13.42091
258	all	100
258	placed	10.69894
258	around	6.874928
258	house	22.09385
259	all	100
259	house	22.09385
259	area	9.460034
260	all	100
260	throughout my house	99.57954
260	plugged	8.614049
260	rooms	21.0607
260	area	9.460034
260	6	9.706025
261	all	100
261	coverage	11.91175
261	6 pack	70.86136
261	rooms	21.0607
262	all	100
262	6	9.706025
263	all	100
264	all	100
264	coverage	11.91175
264	placed	10.69894
264	house	22.09385
265	all	100
265	plugged	8.614049
266	all	100
266	spider	20.48056
267	all	100
267	mice	24.1596
268	all	100
268	although	9.101137
268	really	6.669503
268	work	5.154825
269	all	100
269	seemed	10.17381
269	work	5.154825
269	mice	24.1596
270	all	100
270	difference	9.155138
270	mice	24.1596
271	all	100
271	although	9.101137
271	really	6.669503
271	fall	9.893981
272	all	100
272	worked	6.482453
272	traps	16.70194
272	mice	24.1596
273	all	100
273	mice	24.1596
274	all	100
274	difference	9.155138
274	worked	6.482453
275	all	100
275	mice	37.11735
276	all	100
276	product	5.945817
276	seller	11.4486
277	all	100
277	amazon	11.65388
277	stuff	9.453681
278	all	100
278	purchased	6.960314
278	amazon	11.65388
278	pack	9.540528
279	all	100
280	all	100
280	seller	11.4486
281	all	100
281	amazon	11.65388
281	stuff	9.453681
282	all	100
282	seller	11.4486
283	all	100
283	purchased	6.960314
283	reviews	9.664467
283	amazon	11.65388
284	all	100
284	amazon	11.65388
285	all	100
285	sound	7.148699
286	all	100
286	noise	11.57837
286	make	6.785005
287	all	100
287	noise	11.57837
288	all	100
288	noise	11.57837
288	back	6.158969
289	all	100
289	annoying	9.879193
289	noise	11.57837
290	all	100
290	sound	7.148699
291	all	100
291	waste of money	68.70736
291	annoying	9.879193
291	sound	7.148699
291	make	6.785005
292	all	100
292	light	6.932328
292	put	6.874928
293	all	100
293	product	6.760881
293	put	6.874928
294	all	100
294	spiders	18.56205
294	like	4.585127
295	all	100
295	product	6.760881
296	all	100
296	product	6.760881
297	all	100
297	ultrasonic	17.87554
297	pest	20.42216
297	bugs	16.39685
298	all	100
298	spider	16.52359
298	web	10.29422
299	all	100
299	work	6.389272
299	bugs	16.39685
300	all	100
300	work	6.389272
300	bugs	16.39685
301	all	100
301	web	10.29422
301	one	4.207313
302	all	100
302	devices	10.18253
303	all	100
304	all	100
305	all	100
305	devices	10.18253
306	all	100
306	mice	12.79414
307	all	100
307	night	14.2376
307	light	12.06157
308	all	100
308	light	12.06157
309	all	100
309	nothing	10.27867
309	night	14.2376
309	light	12.06157
310	all	100
310	expensive	8.342566
310	nothing	10.27867
310	night	14.2376
311	all	100
312	all	100
313	all	100
314	all	100
315	all	100
315	light	12.06157
