Uid	Term	Term_Score
206	story	59.94361
207	all	100
208	all	100
208	story	59.94361
209	all	100
209	story	59.94361
210	all	100
210	story	59.94361
211	all	100
211	story	59.94361
212	all	100
212	farcry	56.10805
212	story	59.94361
213	all	100
213	villains	54.16332
213	story	59.94361
214	all	100
214	story	59.94361
214	cry	55.77016
215	all	100
215	story	59.94361
216	all	100
216	story	59.94361
217	all	100
217	story	59.94361
218	all	100
219	all	100
219	story	59.94361
220	all	100
220	ending	71.2765
221	all	100
221	characters	59.46443
221	story	59.94361
222	all	100
222	story	59.94361
223	all	100
224	all	100
225	all	100
225	story	59.94361
226	all	100
226	story	59.94361
227	all	100
227	story	59.94361
228	all	100
228	ending	71.2765
228	story	59.94361
229	all	100
229	story	59.94361
230	all	100
230	story	59.94361
230	cry	55.77016
231	all	100
231	graphics	50.62688
231	story	59.94361
232	all	100
233	all	100
233	story	59.94361
234	all	100
234	story	59.94361
235	all	100
235	story	59.94361
236	all	100
236	story	59.94361
237	all	100
237	story	59.94361
238	all	100
238	story	59.94361
239	all	100
240	all	100
240	quests	55.17515
240	story	59.94361
241	all	100
242	all	100
242	story	59.94361
243	all	100
243	story	59.94361
244	all	100
244	story	59.94361
245	all	100
245	story	59.94361
246	all	100
246	story	59.94361
247	all	100
247	story	59.94361
248	all	100
248	story	59.94361
249	all	100
249	story	59.94361
250	all	100
250	story	59.94361
251	all	100
251	story	59.94361
252	all	100
252	characters	59.46443
252	story	59.94361
253	all	100
253	story	59.94361
254	all	100
254	story	59.94361
255	all	100
255	story	59.94361
256	all	100
256	missions	62.63234
256	story	59.94361
257	all	100
257	story	59.94361
258	all	100
258	characters	59.46443
258	story	59.94361
259	all	100
259	ending	71.2765
260	all	100
261	all	100
261	story	59.94361
262	all	100
262	story	59.94361
263	all	100
263	story	59.94361
264	all	100
264	characters	59.46443
265	all	100
265	story	59.94361
266	all	100
266	story	59.94361
267	all	100
267	story	59.94361
268	all	100
269	all	100
269	story	59.94361
270	all	100
270	story	59.94361
271	all	100
271	story	59.94361
272	all	100
272	quests	55.17515
273	all	100
273	story	59.94361
274	all	100
274	story	59.94361
275	all	100
275	side missions	4.759573
275	story	59.94361
276	all	100
276	story	59.94361
277	all	100
277	story	59.94361
278	all	100
278	story	59.94361
279	all	100
279	story	59.94361
280	all	100
280	story	59.94361
281	all	100
282	all	100
282	companions	61.54376
282	characters	59.46443
283	all	100
283	story	59.94361
284	all	100
284	story	59.94361
285	all	100
286	all	100
286	story	59.94361
287	all	100
287	story	59.94361
288	all	100
288	villains	54.16332
288	story	59.94361
289	all	100
289	ending	71.2765
290	all	100
290	story	59.94361
291	all	100
291	story	59.94361
292	all	100
292	story	59.94361
293	all	100
293	story	59.94361
294	all	100
294	story	59.94361
294	cry	55.77016
295	all	100
295	story	59.94361
296	all	100
296	characters	59.46443
296	story	59.94361
297	all	100
298	all	100
299	all	100
299	story	59.94361
300	all	100
300	ending	71.2765
300	story	59.94361
301	all	100
301	spoilers	59.01519
302	all	100
302	story	59.94361
303	all	100
303	plot	71.51877
304	all	100
304	characters	59.46443
304	story	59.94361
304	plot	71.51877
305	all	100
305	plot	71.51877
306	all	100
306	story	59.94361
307	all	100
308	all	100
308	story	59.94361
309	all	100
309	story	59.94361
310	all	100
310	story	59.94361
311	all	100
311	story	59.94361
312	all	100
312	villains	54.16332
312	story	59.94361
313	all	100
313	gameplay	65.1876
313	plot	71.51877
314	all	100
315	all	100
315	story	59.94361
316	all	100
316	story	59.94361
317	all	100
318	all	100
318	characters	59.46443
319	all	100
320	all	100
321	all	100
321	story	59.94361
322	all	100
322	plot	71.51877
323	all	100
323	ending	71.2765
324	all	100
324	story	59.94361
325	all	100
325	story	59.94361
326	all	100
326	story	59.94361
327	all	100
327	story	59.94361
328	all	100
328	story	59.94361
329	all	100
329	story	59.94361
330	all	100
330	story	59.94361
331	all	100
331	story	59.94361
332	all	100
332	story	59.94361
333	all	100
333	story	59.94361
334	all	100
334	ending	71.2765
334	story	59.94361
335	all	100
335	story	59.94361
336	all	100
336	ending	71.2765
337	all	100
337	story	59.94361
338	all	100
338	story	59.94361
338	cry	55.77016
339	all	100
339	ending	71.2765
339	story	59.94361
340	all	100
340	story	59.94361
341	all	100
341	story	59.94361
342	all	100
342	story	59.94361
343	all	100
343	story	59.94361
344	all	100
344	story	59.94361
345	all	100
345	farcry	56.10805
345	story	59.94361
346	all	100
346	story	59.94361
346	cry	55.77016
347	all	100
347	story	59.94361
348	all	100
348	story	59.94361
349	all	100
349	plot	71.51877
350	all	100
350	story	59.94361
351	all	100
351	story	59.94361
352	all	100
352	story	59.94361
353	all	100
354	all	100
354	story	59.94361
355	all	100
355	story	59.94361
356	all	100
356	ending	71.2765
356	story	59.94361
357	all	100
357	ending	71.2765
357	story	59.94361
358	all	100
358	side missions	4.759573
358	quests	69.54974
358	story	59.94361
359	all	100
359	ending	71.2765
360	all	100
360	story	59.94361
361	all	100
361	story	59.94361
362	all	100
362	story	59.94361
363	all	100
363	story	59.94361
363	cry	55.77016
364	all	100
365	all	100
365	story	59.94361
366	all	100
366	story	59.94361
367	all	100
367	farcry	56.10805
367	story	59.94361
368	all	100
369	all	100
369	plot	71.51877
370	all	100
370	plot	71.51877
371	all	100
371	story	59.94361
372	all	100
372	farcry	56.10805
372	story	59.94361
373	all	100
374	all	100
374	ending	71.2765
374	story	59.94361
375	all	100
375	story	59.94361
376	all	100
377	all	100
378	all	100
378	ending	71.2765
379	all	100
379	farcry	56.10805
379	story	59.94361
380	all	100
380	story	59.94361
381	all	100
381	story	59.94361
382	all	100
383	all	100
383	story	59.94361
384	all	100
384	story	59.94361
385	all	100
385	ending	71.2765
385	story	59.94361
386	all	100
386	characters	59.46443
387	all	100
387	story	59.94361
388	all	100
388	quests	69.54974
388	quest	57.51136
389	all	100
389	ending	71.2765
389	story	59.94361
390	all	100
390	ending	71.2765
391	all	100
391	quests	55.17515
392	all	100
392	story	59.94361
393	all	100
394	all	100
394	story	59.94361
395	all	100
396	all	100
396	story	59.94361
397	all	100
397	story	59.94361
398	all	100
398	story	59.94361
399	all	100
399	ending	71.2765
400	all	100
400	ending	71.2765
401	all	100
401	story	59.94361
402	all	100
402	ending	71.2765
402	story	59.94361
403	all	100
403	story	59.94361
404	all	100
404	missions	62.63234
404	story	59.94361
405	all	100
405	characters	59.46443
405	story	59.94361
406	all	100
406	story	59.94361
407	all	100
407	story	59.94361
408	all	100
408	story	59.94361
409	all	100
409	story	59.94361
410	all	100
410	story	59.94361
411	all	100
411	characters	59.46443
412	all	100
412	story	59.94361
413	all	100
413	story	59.94361
414	all	100
414	story	59.94361
415	all	100
415	story	59.94361
416	all	100
416	story	59.94361
417	all	100
417	story	59.94361
418	all	100
418	ending	71.2765
419	all	100
420	all	100
420	ending	71.2765
421	all	100
421	story	59.94361
422	all	100
422	ending	71.2765
423	all	100
423	story	59.94361
424	all	100
424	story	59.94361
425	all	100
426	all	100
426	story	59.94361
427	all	100
427	story	59.94361
428	all	100
428	ending	71.2765
429	all	100
429	quests	55.17515
429	story	59.94361
430	all	100
430	story	59.94361
431	all	100
431	story	59.94361
432	all	100
432	villains	54.16332
433	all	100
433	story	59.94361
434	all	100
434	plot	71.51877
435	all	100
435	ending	71.2765
436	all	100
436	ending	71.2765
436	story	59.94361
437	all	100
437	story	59.94361
438	all	100
438	ending	71.2765
