Uid	Term	Term_Score
123	next	8.725281
123	use	4.468312
123	4	9.605674
124	all	100
124	years	7.193328
124	next	8.725281
124	4	9.605674
125	all	100
126	all	100
127	all	100
128	all	100
128	use	4.468312
129	all	100
130	all	100
131	all	100
131	design	8.004164
131	solid	8.414625
131	hands	14.80418
131	like	5.683147
131	feel	7.440449
131	s9	21.55254
132	all	100
132	looks	9.004011
132	grey	12.77546
133	all	100
133	design	8.004164
133	speed	8.560968
133	one	4.207313
134	all	100
135	all	100
135	colour	14.50218
135	would	4.694401
135	like	5.683147
135	grey	12.77546
136	all	100
136	looks	9.004011
136	like	5.683147
136	one	4.207313
136	s9	21.55254
137	all	100
137	network	8.910509
138	all	100
138	sim card	41.21016
138	put	8.521296
139	all	100
139	samsung	18.72512
139	voice	10.28256
139	bixby	28.04815
139	use	4.468312
140	all	100
140	sim card	41.21016
140	factory	10.87
140	put	8.521296
140	new	6.287624
141	all	100
141	network	8.910509
142	all	100
143	all	100
143	sim card	41.21016
143	put	8.521296
144	all	100
145	all	100
145	screen	14.1417
145	using	6.019728
146	all	100
147	all	100
147	pocket	9.879193
147	fit	8.167422
148	all	100
148	pockets	11.79291
148	pants	14.40248
148	fit	8.167422
149	all	100
149	charger	7.692467
149	plus	8.330252
149	fit	8.167422
149	s9	17.38845
150	all	100
150	glass	8.936625
151	all	100
151	amazon	10.8928
152	all	100
152	shipped	10.14443
152	within	8.953815
152	amazon	10.8928
152	day	8.855111
153	all	100
153	amazon	10.8928
154	all	100
154	shipping	10.52933
154	day	8.855111
154	1	6.589425
155	all	100
155	shipping	10.52933
155	amazon	10.8928
155	day	8.855111
155	1	6.589425
156	all	100
156	shipping	10.52933
156	customer	11.68769
156	service	11.05983
156	amazon	10.8928
157	all	100
157	usb	6.874928
157	old	6.987846
158	all	100
159	all	100
160	all	100
161	all	100
161	text	11.01778
162	all	100
163	all	100
163	price	7.148699
164	all	100
164	worth	9.347948
164	price	7.148699
165	all	100
166	all	100
167	all	100
167	price	7.148699
168	all	100
168	screen	14.1417
169	all	100
169	edge	12.66614
170	all	100
170	getting	7.58079
170	screen	10.3004
171	all	100
171	screen	14.1417
171	edge	12.66614
171	area	9.460034
172	all	100
172	getting	7.58079
173	all	100
174	all	100
174	design	8.004164
174	solid	8.414625
174	hands	14.80418
174	like	5.683147
174	feel	7.440449
174	s9	21.55254
175	all	100
175	hands	14.80418
175	s9	17.38845
176	all	100
176	comfortable	7.728113
176	button	10.04709
176	still	6.245816
176	bixby	21.08426
176	hand	8.715466
177	all	100
177	still	6.245816
177	large	8.655348
177	hands	14.80418
177	hand	8.715466
178	all	100
178	storage	14.02645
178	size	7.398118
179	all	100
179	sd card	40
179	samsung	8.55015
180	all	100
180	storage	14.02645
181	all	100
181	sd card	40
181	micro	10.00325
181	apps	9.534471
182	all	100
182	sd card	40
182	samsung	8.55015
182	micro	10.00325
182	apps	9.534471
183	all	100
183	days	9.489481
183	2	7.137794
184	all	100
184	delivery	9.478952
185	all	100
185	within	8.953815
185	day	7.144248
186	all	100
186	shipped	10.14443
186	within	8.953815
186	amazon	10.8928
186	day	8.855111
187	all	100
187	sound	6.28688
188	all	100
188	stereo speakers	48.17623
189	all	100
189	stereo speakers	48.17623
189	samsung	8.55015
189	s9	21.55254
190	all	100
190	stereo speakers	48.17623
190	watching	14.1178
190	movies	12.03884
190	shows	9.849225
191	all	100
191	picture	9.786751
192	all	100
192	professional	10.1059
192	quality	6.06577
192	picture	9.786751
192	camera	11.73471
193	all	100
193	quality	6.06577
193	takes	8.763984
194	all	100
194	quality	6.06577
194	picture	9.786751
194	good	4.059989
195	all	100
195	easy	6.4869
196	all	100
196	easy	6.4869
197	all	100
198	all	100
198	easy	6.4869
199	all	100
199	watching	14.1178
199	speakers	7.599922
199	youtube	13.03785
200	all	100
200	watching	14.1178
200	youtube	13.03785
200	display	15.2537
200	screen	14.1417
200	movies	12.03884
200	blacks	15.15061
200	nice	5.701327
200	deep	11.11118
200	9	9.966041
201	all	100
201	stereo speakers	48.17623
201	watching	14.1178
201	movies	12.03884
201	shows	9.849225
202	all	100
202	watching	14.1178
202	youtube	13.03785
202	movies	12.03884
202	shows	9.849225
202	nice	5.701327
202	far	6.518867
203	all	100
203	good	4.059989
204	all	100
204	fast	8.592442
205	all	100
205	design	8.004164
205	speed	8.560968
205	one	4.207313
206	all	100
206	speed	8.560968
206	good	4.059989
206	fast	8.592442
206	apps	18.00425
207	all	100
207	charge	7.067852
208	all	100
208	charger	7.692467
209	all	100
209	charge	7.067852
210	all	100
210	charger	7.692467
210	plus	8.330252
210	fit	8.167422
210	s9	17.38845
211	all	100
211	design	8.004164
211	solid	8.414625
211	hands	14.80418
211	like	5.683147
211	feel	7.440449
211	s9	21.55254
212	all	100
212	excellent	6.753937
212	size	7.398118
213	all	100
213	getting	7.58079
214	all	100
214	made	6.785005
215	all	100
215	headphone jack	41.96397
216	all	100
216	headphone jack	41.96397
217	all	100
217	headphone jack	41.96397
218	all	100
218	charger	7.692467
218	plus	8.330252
218	fit	8.167422
218	s9	17.38845
219	all	100
220	all	100
220	package	9.139884
220	id	12.59229
221	all	100
221	pictures	13.47949
221	lot	6.987846
222	all	100
222	bought	6.993005
222	loves	10.86273
222	gift	9.061483
223	all	100
223	bought	6.993005
223	loves	10.86273
223	gift	9.061483
224	all	100
224	bought	6.993005
224	loves	10.86273
225	all	100
225	comfortable	7.728113
225	button	10.04709
225	still	6.245816
225	bixby	21.08426
225	hand	8.715466
226	all	100
226	samsung	18.72512
226	button	10.04709
226	bixby	28.04815
227	all	100
227	notifications	12.4335
227	bixby	28.04815
227	app	12.21773
228	all	100
228	features	14.96936
229	all	100
229	features	14.96936
229	awful	11.72272
229	part	8.461016
229	new	6.287624
230	all	100
230	features	14.96936
230	awful	11.72272
231	all	100
231	storage	14.02645
231	size	7.398118
232	all	100
232	excellent	6.753937
232	size	7.398118
233	all	100
233	still	6.245816
233	large	8.655348
233	hands	14.80418
233	hand	8.715466
234	all	100
234	storage	14.02645
234	size	7.398118
235	all	100
235	apps	18.00425
236	all	100
236	pockets	11.79291
236	pants	14.40248
236	fit	8.167422
237	all	100
237	fingerprint	17.14102
237	unlock	13.31627
238	all	100
238	fingerprint	17.14102
238	unlock	13.31627
238	reader	11.73269
238	back	6.158969
239	all	100
240	all	100
241	all	100
242	all	100
242	light	6.932328
242	low	7.958605
243	all	100
243	light	6.932328
243	low	7.958605
244	all	100
244	one	4.207313
245	all	100
246	all	100
246	gaming	11.67777
247	all	100
247	sessions	13.3807
247	gaming	11.67777
247	even	5.814246
248	all	100
248	light	6.932328
248	low	7.958605
249	all	100
249	professional	10.1059
249	pictures	13.47949
250	all	100
250	old	6.987846
251	all	100
251	stereo speakers	48.17623
251	watching	14.1178
251	movies	12.03884
251	shows	9.849225
252	all	100
252	bought	6.993005
252	loves	10.86273
253	all	100
253	screen	14.1417
254	all	100
254	initial	11.40668
254	setup	10.01182
254	use	4.468312
255	all	100
