Uid	Term	Term_Score
143	all	100
143	easy to install	71.0974
143	super	14.47485
143	kodi	43.55359
144	all	100
144	apps	31.21547
145	all	100
145	shield	36.59625
145	nvidia	40.76477
145	kodi	43.55359
146	all	100
146	best android	45.0793
146	android box	43.46378
147	all	100
147	streaming	32.39369
148	all	100
148	kodi	43.55359
149	all	100
149	shield	36.59625
150	all	100
150	android	35.81115
151	all	100
151	best android	45.0793
151	android box	43.46378
152	all	100
152	best android	45.0793
152	android tv	42.96536
153	all	100
154	all	100
154	kodi	43.55359
155	all	100
155	android boxes	45.36487
156	all	100
156	kodi	43.55359
157	all	100
157	android tv device	74.45565
157	best android tv	86.67957
158	all	100
158	android boxes	45.36487
159	all	100
159	sideload	38.56382
160	all	100
160	android boxes	47.32212
160	tv	18.48458
161	all	100
161	plex	42.18784
161	kodi	43.55359
162	all	100
162	plex	42.18784
163	all	100
163	apps	31.21547
164	all	100
164	shield	36.59625
164	nvidia	40.76477
165	all	100
165	streaming	32.39369
165	kodi	43.55359
166	all	100
166	plex	42.18784
167	all	100
167	kodi	43.55359
168	all	100
168	android box	43.46378
169	all	100
169	best android	45.0793
169	android box	43.46378
170	all	100
170	best android	45.0793
170	android box	43.46378
170	streaming	32.39369
171	all	100
171	android tv	42.96536
172	all	100
172	kodi	43.55359
172	apps	31.21547
173	all	100
173	assistant	34.81524
174	all	100
174	apple tv	44.50319
175	all	100
175	streaming	32.39369
176	all	100
176	android box	43.46378
177	all	100
177	apps	31.21547
178	all	100
178	android box	43.46378
179	all	100
179	android tv	42.96536
179	assistant	34.81524
179	4k	32.43502
180	all	100
180	android	35.81115
180	gaming	27.7613
181	all	100
181	android box	43.46378
181	shield	36.59625
181	nvidia	40.76477
182	all	100
182	android boxes	45.36487
182	shield	36.59625
182	nvidia	40.76477
183	all	100
183	streaming device	40.73249
184	all	100
184	android	35.81115
184	shield	36.59625
185	all	100
185	android phone	52.46785
185	keyboard	18.57645
186	all	100
186	apps	31.21547
187	all	100
187	android	35.81115
187	shield	36.59625
188	all	100
188	streaming devices	50.73249
188	android	35.81115
189	all	100
190	all	100
190	google	28.64112
191	all	100
191	apps	31.21547
192	all	100
193	all	100
193	android boxes	47.32212
194	all	100
194	streaming	32.39369
195	all	100
195	streaming	32.39369
196	all	100
196	google play	53.70535
196	android tv	48.42155
196	streaming	32.39369
196	apps	31.21547
197	all	100
197	assistant	34.81524
197	google	28.64112
197	kodi	43.55359
198	all	100
198	media	21.99581
198	boxes	32.40374
199	all	100
199	plex	42.18784
199	kodi	43.55359
200	all	100
200	nvidia	40.76477
201	all	100
201	android	35.81115
201	games	31.7364
202	all	100
202	kodi	43.55359
203	all	100
203	kodi	43.55359
204	all	100
204	android tv	42.96536
204	boxes	32.40374
205	all	100
205	microphone	13.42056
205	assistant	34.81524
205	also	5.641912
206	all	100
206	android tv	42.96536
207	all	100
207	android boxes	45.36487
208	all	100
208	android tv	42.96536
208	boxes	32.40374
209	all	100
210	all	100
210	android tv	42.96536
210	assistant	34.81524
210	boxes	32.40374
211	all	100
211	android box	43.46378
212	all	100
212	nvidia	40.76477
212	canada	34.42183
213	all	100
213	canada	34.42183
214	all	100
214	android boxes	45.36487
214	best android	45.0793
215	all	100
215	kodi	43.55359
216	all	100
216	android boxes	45.36487
217	all	100
217	kodi	43.55359
218	all	100
218	shield	36.59625
219	all	100
219	shield	36.59625
